rank,Processor_name,Processor_full_name,brand,url,rating,grade,antutu_v11,gb6_single,gb6_multi,cores,core_config,clock_mhz,gpu
197,Kirin 710F,HiSilicon Kirin 710F,HiSilicon,https://nanoreview.net/en/soc/hisilicon-kirin-710f,23,D,323894,352,1244,8,(4+4),2200 MHz,Mali-G51 MP4
198,Helio P65,MediaTek Helio P65,MediaTek,https://nanoreview.net/en/soc/mediatek-helio-p65,23,D,290447,414,1183,8,(2+6),2000 MHz,Mali-G52 MP2
199,Exynos 9611,Samsung Exynos 9611,Samsung,https://nanoreview.net/en/soc/samsung-exynos-9611,23,D,355351,363,1139,8,(4+4),2300 MHz,Mali-G72 MP3
200,Kirin 710A,HiSilicon Kirin 710A,HiSilicon,https://nanoreview.net/en/soc/hisilicon-kirin-710a,22,D,343622,318,1201,8,(4+4),2000 MHz,Mali-G51 MP4
201,Helio G35,MediaTek Helio G35,MediaTek,https://nanoreview.net/en/soc/mediatek-helio-g35,22,D,200794,300,821,8,(4+4),2300 MHz,PowerVR GE8320
202,Helio P70,MediaTek Helio P70,MediaTek,https://nanoreview.net/en/soc/mediatek-helio-p70,22,D,303398,341,779,8,(4+4),2100 MHz,Mali-G72 MP3
203,Kirin 710,HiSilicon Kirin 710,HiSilicon,https://nanoreview.net/en/soc/hisilicon-kirin-710,22,D,336905,362,1222,8,(4+4),2200 MHz,Mali-G51 MP4
204,Exynos 9610,Samsung Exynos 9610,Samsung,https://nanoreview.net/en/soc/samsung-exynos-9610,22,D,352871,370,1021,8,(4+4),2300 MHz,Mali-G72 MP3
205,Helio G50,MediaTek Helio G50,MediaTek,https://nanoreview.net/en/soc/mediatek-helio-g50,21,D,184328,200,889,8,(4+4),2200 MHz,PowerVR GE8320
206,Helio G36,MediaTek Helio G36,MediaTek,https://nanoreview.net/en/soc/mediatek-helio-g36,21,D,195539,189,781,8,(4+4),2200 MHz,PowerVR GE8320
207,Helio G37,MediaTek Helio G37,MediaTek,https://nanoreview.net/en/soc/mediatek-helio-g37,21,D,194025,198,868,8,(4+4),2300 MHz,PowerVR GE8320
208,Helio P60,Mediatek Helio P60,MediaTek,https://nanoreview.net/en/soc/mediatek-helio-p60,21,D,232802,341,779,8,(4+4),2000 MHz,Mali-G72 MP3
209,Snapdragon 821,Qualcomm Snapdragon 821,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-821,21,D,312361,390,792,4,(2+2),2342 MHz,Adreno 530
210,Snapdragon 660,Qualcomm Snapdragon 660,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-660,21,D,347995,360,1115,8,(4+4),2200 MHz,Adreno 512
211,Helio P35,MediaTek Helio P35,MediaTek,https://nanoreview.net/en/soc/mediatek-helio-p35,21,D,199111,300,824,8,(4+4),2300 MHz,PowerVR GE8320
212,Kirin 960,HiSilicon Kirin 960,HiSilicon,https://nanoreview.net/en/soc/hisilicon-kirin-960,21,D,366515,403,1147,8,(4+4),2360 MHz,Mali-G71 MP8
213,Exynos 8890,Samsung Exynos 8890,Samsung,https://nanoreview.net/en/soc/samsung-exynos-8890,21,D,418077,413,1102,8,(4+4),2300 MHz,Mali-T880 MP12
214,Helio G25,MediaTek Helio G25,MediaTek,https://nanoreview.net/en/soc/mediatek-helio-g25,20,D,163723,185,521,8,(4+4),2000 MHz,PowerVR GE8320
215,Snapdragon 439,Qualcomm Snapdragon 439,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-439,20,D,193115,199,795,8,(4+4),2000 MHz,Adreno 505
216,Helio P22,MediaTek Helio P22,MediaTek,https://nanoreview.net/en/soc/mediatek-helio-p22,20,D,156818,233,723,8,(4+4),2000 MHz,PowerVR GE8320
217,Snapdragon 820,Qualcomm Snapdragon 820,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-820,20,D,333877,356,615,4,(2+2),2150 MHz,Adreno 530
218,Exynos 7904,Samsung Exynos 7904,Samsung,https://nanoreview.net/en/soc/samsung-exynos-7904,20,D,241600,330,975,8,(2+6),1800 MHz,Mali-G71 MP2
219,Snapdragon 636,Qualcomm Snapdragon 636,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-636,20,D,282713,294,1083,8,(4+4),1800 MHz,Adreno 509
220,Snapdragon 632,Qualcomm Snapdragon 632,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-632,20,D,243691,295,1037,8,(4+4),1800 MHz,Adreno 506
221,Exynos 7884B,Samsung Exynos 7884B,Samsung,https://nanoreview.net/en/soc/samsung-exynos-7884b,19,D,205752,254,802,8,(2+6),1560 MHz,Mali-G71 MP2
222,Exynos 7885,Samsung Exynos 7885,Samsung,https://nanoreview.net/en/soc/samsung-exynos-7885,19,D,268800,334,862,8,(2+6),2200 MHz,Mali-G71 MP2
223,Snapdragon 630,Qualcomm Snapdragon 630,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-630,19,D,215323,181,960,8,(4+4),2200 MHz,Adreno 508
224,Snapdragon 450,Qualcomm Snapdragon 450,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-450,19,D,176718,301,831,8,(),1800 MHz,Adreno 506
225,Helio A22,MediaTek Helio A22,MediaTek,https://nanoreview.net/en/soc/mediatek-helio-a22,19,D,155362,300,486,4,(),2000 MHz,PowerVR GE8300
226,Snapdragon 625,Qualcomm Snapdragon 625,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-625,18,D,218879,189,862,8,(),2000 MHz,Adreno 506
227,Exynos 7870,Samsung Exynos 7870,Samsung,https://nanoreview.net/en/soc/samsung-exynos-7870,16,D,192269,172,492,8,(),1600 MHz,Mali-T830 MP1
228,Unisoc SC9863A,Unisoc SC9863A,Unisoc,https://nanoreview.net/en/soc/unisoc-sc9863a,15,D,153667,164,725,8,(4+4),1600 MHz,PowerVR GE8322
229,Snapdragon 430,Qualcomm Snapdragon 430,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-430,13,D,180440,205,827,8,(),1400 MHz,Adreno 505
230,Snapdragon 801,Qualcomm Snapdragon 801,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-801,12,D,159133,205,698,4,(),2500 MHz,Adreno 330
231,Snapdragon 435,Qualcomm Snapdragon 435,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-435,12,D,150628,141,618,8,(),1400 MHz,Adreno 505
232,Snapdragon 425,Qualcomm Snapdragon 425,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-425,11,D,180934,130,488,4,(),1400 MHz,Adreno 308
233,MediaTek MT6737,MediaTek MT6737,MediaTek,https://nanoreview.net/en/soc/mediatek-mt6737,10,D,73398,141,594,4,(),1300 MHz,Mali-T720 MP2
